captureTime,frameNumber,leftEyes[0].x,leftEyes[0].y,leftEyes[1].x,leftEyes[1].y,rightEyes[0].x,rightEyes[0].y,rightEyes[1].x,rightEyes[1].y,leftEyes[0].x.2d,leftEyes[0].y.2d,leftEyes[1].x.2d,leftEyes[1].y.2d,rightEyes[0].x.2d,rightEyes[0].y.2d,rightEyes[1].x.2d,rightEyes[1].y.2d
365654.6916,393,296.7785645,262.8139038,356.4147949,262.3375244,337.1115112,264.6489258,396.3288269,264.5013733,301.2972107,263.5456543,360.7188416,262.9092407,340.9590454,266.3161621,400.6090393,266.0212708
365654.708,394,291.6816406,262.7184448,351.1668396,262.3829346,332.0359802,264.2759094,391.5977173,264.2793579,296.067627,263.34552,355.460907,262.7205505,335.820343,265.9589233,395.3996277,265.721405
365654.7255,395,286.2518921,262.1080933,345.8683472,261.6848755,327.1205444,263.8277283,386.3659668,263.2970276,290.5195923,263.0706177,349.906189,262.4368896,330.4046326,265.5372925,389.8988647,265.2989807
365654.7416,396,281.0556641,261.6500854,340.2322693,261.2703857,321.8358154,263.4757385,381.0366211,262.6406555,284.7816467,262.7503662,344.0911865,262.1149597,324.7687988,265.0758667,384.1766663,264.8030701
365654.7585,397,275.4632263,261.6102295,334.5325928,260.9194336,316.2171021,263.2528992,375.3095398,262.039032,278.8166809,262.4612122,338.0099792,261.7831421,318.8815308,264.6410828,378.1739807,264.255249
365654.7742,398,269.3685913,261.7562866,328.5655518,260.4289246,310.4553223,262.6880798,369.3959961,261.592804,272.6043396,262.2167969,331.7131958,261.4069519,312.7929382,264.2135925,371.9755249,263.7271118
365654.7914,399,263.3670349,261.1749268,322.5661621,260.4343262,304.5714722,262.1688538,363.4029236,261.4265747,266.2557068,261.9246826,325.2649536,261.1059265,306.5872803,263.7459106,365.6008301,263.2106628
365654.8076,400,257.3531494,260.8709717,316.1154785,260.0708618,298.5377808,261.4052124,357.2469482,260.9215393,259.7937012,261.6072388,318.6815491,260.7893677,300.2516785,263.255127,359.1384277,262.6996765
365654.8251,401,251.0383759,260.7015991,310.052063,260.0355835,292.3668213,261.1125183,351.3250732,260.7784729,253.2613983,261.3384399,312.1153259,260.5465698,293.8717651,262.8157349,352.6800537,262.2720642
365654.841,402,244.9108276,260.3652954,303.3832397,260.053772,285.5504761,260.5393677,344.8759766,260.5012512,246.619751,261.0552063,305.4208679,260.3663025,287.2936401,262.3573608,346.0863647,261.8491211
365654.8581,403,238.1647644,260.0523071,296.9344177,260.0750732,279.1313171,260.045166,338.0571899,259.8856506,239.8721924,260.7661743,298.6436157,260.207428,280.6450195,261.882782,339.4150391,261.416748
365654.8752,404,231.8067322,260.0015259,291.0095825,259.5189209,272.4176636,259.829071,331.9885254,259.3222961,233.0919647,260.5058594,291.987915,259.9779663,273.9345703,261.4596863,332.8287354,260.975708
365654.8911,405,225.2396088,260.0055542,284.369751,259.5465088,265.7404785,259.7337341,325.1887207,259.1482849,226.2858429,260.3031616,285.2463379,259.7994385,267.1424561,261.0814209,326.1625977,260.5837097
365654.9082,406,218.7237549,259.7667847,277.87323,259.8100586,259.4746704,259.2274475,318.5665283,259.1684265,219.4862823,260.0930786,278.5193176,259.7064209,260.375946,260.6965942,319.457428,260.2792053
365654.9242,407,212.3953705,260.3756714,271.741333,259.9884644,253.1352997,259.4831848,312.1296997,258.9013672,212.7772827,260.0307922,271.8911133,259.657135,253.6562195,260.416626,312.8201294,260.0049438
365654.9411,408,205.863739,260.2810669,264.9703369,260.0409546,246.511322,259.3265686,305.4560242,258.8903198,206.0985107,259.9943237,265.2287903,259.6416931,246.9664001,260.148468,306.1312256,259.7794495
365654.9577,409,199.7395935,260.81427,259.062439,260.4560242,239.8081665,259.7028503,299.3322144,259.085022,199.5118713,260.0749207,258.7489929,259.7069397,240.3226471,259.9995728,299.6091919,259.637146
365654.975,410,193.6199188,260.9395142,253.0898132,260.7828979,233.9279785,259.6311951,293.3469849,259.327179,193.0974884,260.1763,252.4313202,259.8499451,233.8433685,259.9142761,293.2437439,259.5618286
365654.9917,411,186.9963379,261.3760986,247.6858826,260.8292236,227.8055115,260.0788269,287.8836365,259.5849304,186.7258453,260.3634338,246.4287415,260.0074463,227.4387817,259.9104614,287.1878967,259.5329895
365655.0078,412,181.6195068,262.1472168,241.3871918,261.1286621,221.7369843,260.6646118,281.6922302,259.8368225,180.6357117,260.6569214,240.4342194,260.2099915,221.2597351,260.0358887,281.1245117,259.5569763
365655.0248,413,175.7672119,262.2822266,235.8153076,261.824646,215.6878662,260.8786011,276.0945129,260.5167236,174.6979523,260.960907,234.6911621,260.5206604,215.2046509,260.1886597,275.298645,259.6967773
365655.0418,414,170.5379334,262.9874878,230.2113953,262.458313,210.6625977,261.6591797,270.4744873,261.0136108,169.0545654,261.335968,229.0843201,260.8859558,209.5183411,260.4385376,269.589325,259.9043579
365655.0576,415,164.8888092,263.805481,224.933197,263.0096436,204.6896973,262.0315247,265.2443237,261.415802,163.4980774,261.7426758,223.6430817,261.2411499,203.8647156,260.6979675,264.0804443,260.1425171
365655.0744,416,159.6401062,264.3470459,219.9491425,263.7998657,199.3614197,262.5631409,260.0953979,262.0520325,158.1220856,262.2967224,218.4941711,261.7786865,198.4145966,261.1177673,258.8621521,260.5507813
365655.0914,417,154.4020233,264.8317566,215.1806335,264.15448,194.0770569,262.8399963,254.9668579,262.6909485,152.8811035,262.9558411,213.5235596,262.4099731,193.1047974,261.6335754,253.805481,261.0932922
365655.1086,418,149.8067474,265.5774536,210.778656,264.8172607,189.1469116,263.4610901,250.5279541,263.3123474,147.9353638,263.6659241,208.8335266,263.1012268,188.0414886,262.2122192,249.0367737,261.712616
365655.1246,419,145.002121,266.1021118,206.2495575,265.7995605,184.7895508,264.0558167,245.9252167,263.9699402,143.2418671,264.4156494,204.3388367,263.8939209,183.2686157,262.8657837,244.4826965,262.4434509
365655.1411,420,140.5245056,266.9735107,201.8561096,266.3823853,180.4255066,264.8274841,241.5708923,264.5244446,138.7502747,265.2004395,199.9690552,264.6758118,178.7148132,263.5513,240.0486755,263.1663818
365655.1578,421,136.5245209,267.6253052,197.6369019,267.1182251,176.3378143,265.4334717,237.2563782,264.8822937,134.5042572,266.0110168,195.7757263,265.472229,174.447525,264.2718201,235.8011475,263.8907166
365655.1752,422,132.7739105,268.2666626,194.0503845,267.6899414,172.2470398,265.5802917,233.6517334,265.1239014,130.5625763,266.7072144,191.9009399,266.1739502,170.436264,264.8531799,231.8717041,264.4998779
365655.1913,423,129.5346985,269.0883179,190.5332642,268.6152954,169.0196533,266.509613,229.7621765,265.6005859,126.9819717,267.4581299,188.3249207,266.908783,166.7453003,265.4973145,228.2149658,265.0872192
365655.2078,424,126.3946686,269.2886963,187.8115692,268.7937012,166.0552216,266.5653076,226.9281006,265.3851929,123.7469711,268.065033,185.1149139,267.4532776,163.472229,266.0008545,224.9059143,265.4553223
365655.2248,425,124.4427185,269.78479,185.4594421,269.2393799,164.2932587,267.151001,224.5152283,265.8451843,121.0893173,268.6412354,182.3564911,267.9858398,160.8087311,266.4745178,222.0455322,265.8139954
365655.2414,426,121.9006958,269.9630127,183.8101807,269.7629089,161.5004883,266.98526,222.9544067,266.6447144,118.7848969,269.122467,180.1453857,268.5329895,158.4605713,266.8182678,219.7411804,266.2217102
365655.2582,427,120.1207886,270.2709351,181.8848877,270.1380005,159.9729614,267.1921692,220.831604,266.5420837,116.8810959,269.5393372,178.2781525,268.9993591,156.5610504,267.1264343,217.7602539,266.5212708
